Home,Away,Winner,WinProb
Los Angeles Lakers,Los Angeles Clippers,Los Angeles Lakers,0.7288806094348701
Los Angeles Lakers,Dallas Mavericks,Dallas Mavericks,0.557133568711485
Los Angeles Lakers,Minnesota Timberwolves,Minnesota Timberwolves,0.6428351054135137
Los Angeles Lakers,Portland Trail Blazers,Los Angeles Lakers,0.9386938570757222
San Antonio Spurs,Los Angeles Lakers,Los Angeles Lakers,0.8373064741415036
San Antonio Spurs,Los Angeles Lakers,Los Angeles Lakers,0.8251044310985035
Memphis Grizzlies,Los Angeles Lakers,Los Angeles Lakers,0.9868106116780618
Memphis Grizzlies,Los Angeles Lakers,Los Angeles Lakers,0.9857516680956934
Los Angeles Lakers,San Antonio Spurs,Los Angeles Lakers,0.9067648608515946
Los Angeles Lakers,Chicago Bulls,Los Angeles Lakers,0.5802477336649594
Houston Rockets,Los Angeles Lakers,Los Angeles Lakers,0.9766076633565626
Houston Rockets,Los Angeles Lakers,Los Angeles Lakers,0.9753849917667204
Oklahoma City Thunder,Los Angeles Lakers,Los Angeles Lakers,0.9914963189827379
Los Angeles Lakers,New Orleans Pelicans,New Orleans Pelicans,0.9826267269005828
Los Angeles Lakers,Golden State Warriors,Los Angeles Lakers,0.8249473605255916
Milwaukee Bucks,Los Angeles Lakers,Los Angeles Lakers,0.9822949728829485
Chicago Bulls,Los Angeles Lakers,Los Angeles Lakers,0.864755790127728
Cleveland Cavaliers,Los Angeles Lakers,Los Angeles Lakers,0.9940424131909213
Philadelphia 76ers,Los Angeles Lakers,Los Angeles Lakers,0.87435972529159
Detroit Pistons,Los Angeles Lakers,Los Angeles Lakers,0.9076537841722608
Boston Celtics,Los Angeles Lakers,Los Angeles Lakers,0.8010379284667288
Atlanta Hawks,Los Angeles Lakers,Los Angeles Lakers,0.6174742513856507
Los Angeles Lakers,Denver Nuggets,Denver Nuggets,0.676744170952676
Los Angeles Lakers,Detroit Pistons,Los Angeles Lakers,0.507311305107776
Los Angeles Lakers,Oklahoma City Thunder,Los Angeles Lakers,0.6344367989046953
Los Angeles Lakers,Oklahoma City Thunder,Los Angeles Lakers,0.630391865996043
Los Angeles Lakers,Memphis Grizzlies,Memphis Grizzlies,0.7771187442606305
Denver Nuggets,Los Angeles Lakers,Los Angeles Lakers,0.9019089883232052
Minnesota Timberwolves,Los Angeles Lakers,Los Angeles Lakers,0.972235012626316
Los Angeles Lakers,Brooklyn Nets,Brooklyn Nets,0.8122866155515569
Los Angeles Lakers,Miami Heat,Miami Heat,0.6859791932042137
Los Angeles Lakers,Washington Wizards,Washington Wizards,0.756553799393527
Utah Jazz,Los Angeles Lakers,Utah Jazz,0.7218824292752337
Los Angeles Lakers,Portland Trail Blazers,Los Angeles Lakers,0.9022491614846831
Los Angeles Lakers,Golden State Warriors,Golden State Warriors,0.6115753003559338
Los Angeles Lakers,Phoenix Suns,Phoenix Suns,0.5081069888851422
Sacramento Kings,Los Angeles Lakers,Los Angeles Lakers,0.9993601442086905
Los Angeles Lakers,Indiana Pacers,Indiana Pacers,0.650241619995971
Golden State Warriors,Los Angeles Lakers,Los Angeles Lakers,0.9644775824443065
Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,0.5026507487355707
Los Angeles Lakers,Charlotte Hornets,Los Angeles Lakers,0.5326861386774832
Los Angeles Lakers,Atlanta Hawks,Atlanta Hawks,0.6188323621195042
Phoenix Suns,Los Angeles Lakers,Los Angeles Lakers,0.7222416547569909
New Orleans Pelicans,Los Angeles Lakers,Los Angeles Lakers,0.9997323241066649
Los Angeles Lakers,Philadelphia 76ers,Philadelphia 76ers,0.9434945599242958
Los Angeles Lakers,Cleveland Cavaliers,Cleveland Cavaliers,0.7871051503988531
Los Angeles Lakers,Orlando Magic,Los Angeles Lakers,0.8474462397925491
Los Angeles Lakers,Milwaukee Bucks,Milwaukee Bucks,0.9929311585106978
Sacramento Kings,Los Angeles Lakers,Los Angeles Lakers,0.9993645268339043
Los Angeles Clippers,Los Angeles Lakers,Los Angeles Lakers,0.7279591319961085
Toronto Raptors,Los Angeles Lakers,Los Angeles Lakers,0.8369730489672341
Miami Heat,Los Angeles Lakers,Los Angeles Lakers,0.9889925832309509
Brooklyn Nets,Los Angeles Lakers,Los Angeles Lakers,0.9565008593819886
New York Knicks,Los Angeles Lakers,Los Angeles Lakers,0.6940797168793997
Charlotte Hornets,Los Angeles Lakers,Los Angeles Lakers,0.9798478115426328
Los Angeles Lakers,Boston Celtics,Boston Celtics,0.685619783364579
Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,0.8523222206431424
Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,0.8351300358693342
Dallas Mavericks,Los Angeles Lakers,Los Angeles Lakers,0.8758648191933248
Dallas Mavericks,Los Angeles Lakers,Los Angeles Lakers,0.8640612679230981
Orlando Magic,Los Angeles Lakers,Los Angeles Lakers,0.9911382164740042
Washington Wizards,Los Angeles Lakers,Los Angeles Lakers,0.9947641545853211
Los Angeles Lakers,Sacramento Kings,Sacramento Kings,0.9625992911942582
Los Angeles Lakers,Toronto Raptors,Los Angeles Lakers,0.9530083693884511
Los Angeles Lakers,Denver Nuggets,Denver Nuggets,0.9399684022664931
Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,0.5997664228049514
Portland Trail Blazers,Los Angeles Lakers,Los Angeles Lakers,0.8163786340268178
Los Angeles Lakers,Phoenix Suns,Phoenix Suns,0.5467894297683893
Los Angeles Lakers,New York Knicks,Los Angeles Lakers,0.8956647865903529
Los Angeles Lakers,Houston Rockets,Houston Rockets,0.594138369136521
Indiana Pacers,Los Angeles Lakers,Los Angeles Lakers,0.9483446776032023
New Orleans Pelicans,Los Angeles Lakers,Los Angeles Lakers,0.9994537525924028
Los Angeles Lakers,Golden State Warriors,Los Angeles Lakers,0.7622380014409543
