Vteam,Hteam
Golden State Warriors,Brooklyn Nets
Los Angeles Clippers,Los Angeles Lakers
Charlotte Hornets,Cleveland Cavaliers
New York Knicks,Indiana Pacers
Miami Heat,Orlando Magic
Washington Wizards,Philadelphia 76ers
New Orleans Pelicans,Toronto Raptors
Milwaukee Bucks,Boston Celtics
Atlanta Hawks,Chicago Bulls
San Antonio Spurs,Memphis Grizzlies
Detroit Pistons,Minnesota Timberwolves
Sacramento Kings,Denver Nuggets
Utah Jazz,Portland Trail Blazers
Dallas Mavericks,Phoenix Suns
Los Angeles Clippers,Denver Nuggets
Dallas Mavericks,Los Angeles Lakers
Brooklyn Nets,Boston Celtics
Golden State Warriors,Milwaukee Bucks
New Orleans Pelicans,Miami Heat
Atlanta Hawks,Memphis Grizzlies
Oklahoma City Thunder,Charlotte Hornets
Cleveland Cavaliers,Detroit Pistons
Orlando Magic,Washington Wizards
Philadelphia 76ers,New York Knicks
Indiana Pacers,Chicago Bulls
Toronto Raptors,San Antonio Spurs
Minnesota Timberwolves,Utah Jazz
Houston Rockets,Portland Trail Blazers
Phoenix Suns,Sacramento Kings
Minnesota Timberwolves,Los Angeles Lakers
Phoenix Suns,Sacramento Kings
Golden State Warriors,Chicago Bulls
Milwaukee Bucks,New York Knicks
Boston Celtics,Indiana Pacers
Brooklyn Nets,Charlotte Hornets
Orlando Magic,Washington Wizards
San Antonio Spurs,New Orleans Pelicans
Dallas Mavericks,Los Angeles Clippers
Philadelphia 76ers,Cleveland Cavaliers
Memphis Grizzlies,Brooklyn Nets
Detroit Pistons,Atlanta Hawks
Utah Jazz,Oklahoma City Thunder
Houston Rockets,Denver Nuggets
Portland Trail Blazers,Los Angeles Lakers
Minnesota Timberwolves,Los Angeles Clippers
New Orleans Pelicans,Phoenix Suns
Orlando Magic,Oklahoma City Thunder
Milwaukee Bucks,Miami Heat
Denver Nuggets,Sacramento Kings
Chicago Bulls,Washington Wizards
Boston Celtics,Indiana Pacers
Golden State Warriors,Detroit Pistons
New York Knicks,Cleveland Cavaliers
Toronto Raptors,Philadelphia 76ers
Milwaukee Bucks,Miami Heat
Atlanta Hawks,Brooklyn Nets
Memphis Grizzlies,Boston Celtics
Charlotte Hornets,Dallas Mavericks
Los Angeles Lakers,San Antonio Spurs
Portland Trail Blazers,Los Angeles Clippers
Phoenix Suns,Utah Jazz
New Orleans Pelicans,Oklahoma City Thunder
New York Knicks,Toronto Raptors
Cleveland Cavaliers,Indiana Pacers
Philadelphia 76ers,Orlando Magic
Chicago Bulls,Washington Wizards
Sacramento Kings,Houston Rockets
Los Angeles Lakers,San Antonio Spurs
Portland Trail Blazers,Golden State Warriors
Los Angeles Clippers,Utah Jazz
Phoenix Suns,Denver Nuggets
Washington Wizards,Minnesota Timberwolves
Atlanta Hawks,Brooklyn Nets
Chicago Bulls,Milwaukee Bucks
Boston Celtics,Detroit Pistons
Miami Heat,Dallas Mavericks
Memphis Grizzlies,Charlotte Hornets
Sacramento Kings,Houston Rockets
New York Knicks,Indiana Pacers
Oklahoma City Thunder,Orlando Magic
Charlotte Hornets,Philadelphia 76ers
Cleveland Cavaliers,Atlanta Hawks
Toronto Raptors,New Orleans Pelicans
Portland Trail Blazers,Golden State Warriors
Dallas Mavericks,Chicago Bulls
Utah Jazz,San Antonio Spurs
Los Angeles Clippers,Phoenix Suns
Los Angeles Lakers,Memphis Grizzlies
Washington Wizards,Brooklyn Nets
Boston Celtics,Detroit Pistons
Denver Nuggets,Minnesota Timberwolves
Sacramento Kings,Golden State Warriors
Indiana Pacers,New Orleans Pelicans
Detroit Pistons,Milwaukee Bucks
Boston Celtics,Toronto Raptors
Dallas Mavericks,Houston Rockets
New York Knicks,Atlanta Hawks
Charlotte Hornets,Philadelphia 76ers
Oklahoma City Thunder,Miami Heat
Cleveland Cavaliers,Orlando Magic
Chicago Bulls,Portland Trail Blazers
Utah Jazz,Brooklyn Nets
Los Angeles Lakers,Memphis Grizzlies
Minnesota Timberwolves,Denver Nuggets
San Antonio Spurs,Los Angeles Clippers
Toronto Raptors,Phoenix Suns
Washington Wizards,Philadelphia 76ers
Chicago Bulls,Sacramento Kings
Oklahoma City Thunder,New Orleans Pelicans
Los Angeles Clippers,Golden State Warriors
Detroit Pistons,Milwaukee Bucks
Houston Rockets,Indiana Pacers
Boston Celtics,Miami Heat
Charlotte Hornets,Atlanta Hawks
Cleveland Cavaliers,Orlando Magic
Utah Jazz,New York Knicks
Philadelphia 76ers,Brooklyn Nets
Cleveland Cavaliers,Memphis Grizzlies
Dallas Mavericks,Denver Nuggets
San Antonio Spurs,Los Angeles Lakers
Minnesota Timberwolves,Portland Trail Blazers
Toronto Raptors,Sacramento Kings
Chicago Bulls,Los Angeles Lakers
Los Angeles Clippers,Golden State Warriors
Utah Jazz,Milwaukee Bucks
Brooklyn Nets,Memphis Grizzlies
Orlando Magic,Houston Rockets
Charlotte Hornets,New Orleans Pelicans
Washington Wizards,Boston Celtics
Phoenix Suns,Detroit Pistons
Oklahoma City Thunder,New York Knicks
Orlando Magic,Dallas Mavericks
Denver Nuggets,Philadelphia 76ers
Atlanta Hawks,Charlotte Hornets
Phoenix Suns,Indiana Pacers
Miami Heat,Washington Wizards
Cleveland Cavaliers,Milwaukee Bucks
San Antonio Spurs,Minnesota Timberwolves
Portland Trail Blazers,Sacramento Kings
San Antonio Spurs,Minnesota Timberwolves
Toronto Raptors,Golden State Warriors
Los Angeles Lakers,Houston Rockets
Utah Jazz,Detroit Pistons
Oklahoma City Thunder,Brooklyn Nets
Denver Nuggets,New York Knicks
Chicago Bulls,Los Angeles Clippers
New York Knicks,Charlotte Hornets
Memphis Grizzlies,Cleveland Cavaliers
Milwaukee Bucks,Orlando Magic
Phoenix Suns,Washington Wizards
Philadelphia 76ers,Atlanta Hawks
Toronto Raptors,Portland Trail Blazers
Indiana Pacers,Sacramento Kings
San Antonio Spurs,Oklahoma City Thunder
Indiana Pacers,Golden State Warriors
Los Angeles Lakers,Houston Rockets
Miami Heat,Philadelphia 76ers
Denver Nuggets,Brooklyn Nets
Utah Jazz,Cleveland Cavaliers
Portland Trail Blazers,Sacramento Kings
New Orleans Pelicans,Los Angeles Clippers
Los Angeles Lakers,Oklahoma City Thunder
Dallas Mavericks,Charlotte Hornets
Brooklyn Nets,New York Knicks
Milwaukee Bucks,Detroit Pistons
Memphis Grizzlies,Minnesota Timberwolves
Golden State Warriors,Denver Nuggets
Miami Heat,Philadelphia 76ers
Houston Rockets,San Antonio Spurs
Charlotte Hornets,Toronto Raptors
Indiana Pacers,Portland Trail Blazers
Los Angeles Clippers,Sacramento Kings
Atlanta Hawks,Utah Jazz
Chicago Bulls,Oklahoma City Thunder
New Orleans Pelicans,Los Angeles Lakers
New York Knicks,Cleveland Cavaliers
Orlando Magic,Boston Celtics
Dallas Mavericks,Milwaukee Bucks
Houston Rockets,San Antonio Spurs
Orlando Magic,Brooklyn Nets
Charlotte Hornets,Toronto Raptors
Philadelphia 76ers,Memphis Grizzlies
Detroit Pistons,Miami Heat
Atlanta Hawks,Portland Trail Blazers
New York Knicks,Boston Celtics
Chicago Bulls,Dallas Mavericks
Utah Jazz,Denver Nuggets
New Orleans Pelicans,Sacramento Kings
Indiana Pacers,Los Angeles Clippers
Dallas Mavericks,Toronto Raptors
Detroit Pistons,Miami Heat
Houston Rockets,Chicago Bulls
Golden State Warriors,Los Angeles Lakers
Phoenix Suns,Memphis Grizzlies
San Antonio Spurs,Portland Trail Blazers
Minnesota Timberwolves,Atlanta Hawks
Orlando Magic,New York Knicks
Milwaukee Bucks,Brooklyn Nets
Oklahoma City Thunder,Denver Nuggets
New Orleans Pelicans,Utah Jazz
Sacramento Kings,Los Angeles Clippers
Brooklyn Nets,Cleveland Cavaliers
Dallas Mavericks,Indiana Pacers
Boston Celtics,Philadelphia 76ers
Detroit Pistons,Atlanta Hawks
Miami Heat,Toronto Raptors
Orlando Magic,Minnesota Timberwolves
Phoenix Suns,Houston Rockets
San Antonio Spurs,Golden State Warriors
New Orleans Pelicans,Utah Jazz
New York Knicks,Golden State Warriors
Los Angeles Lakers,Milwaukee Bucks
Chicago Bulls,Charlotte Hornets
Houston Rockets,Detroit Pistons
Orlando Magic,Indiana Pacers
Brooklyn Nets,Cleveland Cavaliers
Boston Celtics,Philadelphia 76ers
Miami Heat,Toronto Raptors
Atlanta Hawks,Minnesota Timberwolves
Dallas Mavericks,San Antonio Spurs
Oklahoma City Thunder,Los Angeles Clippers
Denver Nuggets,Phoenix Suns
New York Knicks,Sacramento Kings
New Orleans Pelicans,Minnesota Timberwolves
Golden State Warriors,Utah Jazz
Denver Nuggets,Phoenix Suns
Houston Rockets,Dallas Mavericks
Miami Heat,Brooklyn Nets
Philadelphia 76ers,Detroit Pistons
Los Angeles Lakers,Chicago Bulls
Washington Wizards,San Antonio Spurs
Toronto Raptors,Indiana Pacers
Oklahoma City Thunder,Los Angeles Clippers
Cleveland Cavaliers,Boston Celtics
Charlotte Hornets,Orlando Magic
Atlanta Hawks,Milwaukee Bucks
New York Knicks,Portland Trail Blazers
Minnesota Timberwolves,Golden State Warriors
Denver Nuggets,Dallas Mavericks
Oklahoma City Thunder,Portland Trail Blazers
Los Angeles Lakers,Cleveland Cavaliers
Boston Celtics,Chicago Bulls
Charlotte Hornets,Orlando Magic
Toronto Raptors,Indiana Pacers
Philadelphia 76ers,Detroit Pistons
Miami Heat,Brooklyn Nets
Los Angeles Clippers,Atlanta Hawks
Washington Wizards,Houston Rockets
New York Knicks,Utah Jazz
Minnesota Timberwolves,Golden State Warriors
Dallas Mavericks,Utah Jazz
Washington Wizards,New Orleans Pelicans
Boston Celtics,San Antonio Spurs
Milwaukee Bucks,Toronto Raptors
Oklahoma City Thunder,Phoenix Suns
Denver Nuggets,Miami Heat
Brooklyn Nets,Atlanta Hawks
Sacramento Kings,Orlando Magic
Detroit Pistons,Cleveland Cavaliers
Indiana Pacers,Charlotte Hornets
Los Angeles Lakers,Philadelphia 76ers
Portland Trail Blazers,Houston Rockets
Los Angeles Lakers,Detroit Pistons
Los Angeles Clippers,Miami Heat
Golden State Warriors,Phoenix Suns
Denver Nuggets,San Antonio Spurs
Los Angeles Clippers,Orlando Magic
Brooklyn Nets,Oklahoma City Thunder
Philadelphia 76ers,Minnesota Timberwolves
Indiana Pacers,Charlotte Hornets
Cleveland Cavaliers,New York Knicks
Milwaukee Bucks,New Orleans Pelicans
Atlanta Hawks,Washington Wizards
Dallas Mavericks,Utah Jazz
Sacramento Kings,Toronto Raptors
Phoenix Suns,Dallas Mavericks
Memphis Grizzlies,San Antonio Spurs
Detroit Pistons,Golden State Warriors
Los Angeles Lakers,Boston Celtics
Sacramento Kings,Miami Heat
Houston Rockets,New Orleans Pelicans
Milwaukee Bucks,Charlotte Hornets
Portland Trail Blazers,Chicago Bulls
Los Angeles Clippers,New York Knicks
Utah Jazz,Denver Nuggets
Philadelphia 76ers,Indiana Pacers
Orlando Magic,Toronto Raptors
Brooklyn Nets,Washington Wizards
Cleveland Cavaliers,Minnesota Timberwolves
Memphis Grizzlies,San Antonio Spurs
Phoenix Suns,Dallas Mavericks
Houston Rockets,Oklahoma City Thunder
Sacramento Kings,New Orleans Pelicans
Portland Trail Blazers,Milwaukee Bucks
Minnesota Timberwolves,Cleveland Cavaliers
New York Knicks,Chicago Bulls
Charlotte Hornets,Miami Heat
Los Angeles Lakers,Atlanta Hawks
Toronto Raptors,Orlando Magic
Los Angeles Clippers,Brooklyn Nets
Memphis Grizzlies,Indiana Pacers
Portland Trail Blazers,Washington Wizards
Boston Celtics,Golden State Warriors
Detroit Pistons,Utah Jazz
Phoenix Suns,New Orleans Pelicans
Minnesota Timberwolves,San Antonio Spurs
Houston Rockets,Oklahoma City Thunder
Washington Wizards,Miami Heat
Boston Celtics,Sacramento Kings
New York Knicks,Chicago Bulls
Dallas Mavericks,Atlanta Hawks
Indiana Pacers,Milwaukee Bucks
Philadelphia 76ers,Charlotte Hornets
Los Angeles Clippers,Cleveland Cavaliers
Utah Jazz,Atlanta Hawks
Golden State Warriors,Dallas Mavericks
Portland Trail Blazers,Philadelphia 76ers
Houston Rockets,Memphis Grizzlies
Denver Nuggets,Los Angeles Lakers
Detroit Pistons,Phoenix Suns
Minnesota Timberwolves,Oklahoma City Thunder
Washington Wizards,Miami Heat
Utah Jazz,Charlotte Hornets
Boston Celtics,Los Angeles Clippers
Toronto Raptors,Brooklyn Nets
Chicago Bulls,Orlando Magic
New Orleans Pelicans,Indiana Pacers
Milwaukee Bucks,Cleveland Cavaliers
Detroit Pistons,Los Angeles Lakers
Memphis Grizzlies,New Orleans Pelicans
Golden State Warriors,Dallas Mavericks
Minnesota Timberwolves,Oklahoma City Thunder
San Antonio Spurs,Houston Rockets
Brooklyn Nets,Philadelphia 76ers
Toronto Raptors,Atlanta Hawks
Chicago Bulls,Orlando Magic
Denver Nuggets,Sacramento Kings
Portland Trail Blazers,New York Knicks
Milwaukee Bucks,Cleveland Cavaliers
Washington Wizards,Charlotte Hornets
Utah Jazz,Indiana Pacers
Miami Heat,New York Knicks
Boston Celtics,Phoenix Suns
Sacramento Kings,Los Angeles Clippers
Milwaukee Bucks,Denver Nuggets
Oklahoma City Thunder,Los Angeles Lakers
Cleveland Cavaliers,Phoenix Suns
Golden State Warriors,San Antonio Spurs
Minnesota Timberwolves,Dallas Mavericks
Toronto Raptors,Memphis Grizzlies
Washington Wizards,Chicago Bulls
Houston Rockets,Charlotte Hornets
Brooklyn Nets,Detroit Pistons
New York Knicks,Miami Heat
Houston Rockets,New Orleans Pelicans
Golden State Warriors,San Antonio Spurs
Orlando Magic,Portland Trail Blazers
Philadelphia 76ers,Sacramento Kings
Boston Celtics,Utah Jazz
Milwaukee Bucks,Phoenix Suns
Oklahoma City Thunder,Los Angeles Lakers
Cleveland Cavaliers,Denver Nuggets
New Orleans Pelicans,Chicago Bulls
Charlotte Hornets,Memphis Grizzlies
Indiana Pacers,Brooklyn Nets
Toronto Raptors,Washington Wizards
Los Angeles Clippers,Minnesota Timberwolves
Atlanta Hawks,Dallas Mavericks
Philadelphia 76ers,Portland Trail Blazers
Toronto Raptors,Boston Celtics
Miami Heat,Houston Rockets
Indiana Pacers,Detroit Pistons
Orlando Magic,Golden State Warriors
Memphis Grizzlies,Los Angeles Lakers
Cleveland Cavaliers,Portland Trail Blazers
Oklahoma City Thunder,Denver Nuggets
Orlando Magic,Sacramento Kings
Los Angeles Clippers,Chicago Bulls
Milwaukee Bucks,Utah Jazz
New Orleans Pelicans,Dallas Mavericks
San Antonio Spurs,Atlanta Hawks
New York Knicks,Washington Wizards
Minnesota Timberwolves,Charlotte Hornets
Detroit Pistons,Boston Celtics
Philadelphia 76ers,Phoenix Suns
Indiana Pacers,Atlanta Hawks
Houston Rockets,New York Knicks
Brooklyn Nets,Golden State Warriors
Miami Heat,Utah Jazz
Memphis Grizzlies,Sacramento Kings
Cleveland Cavaliers,Los Angeles Clippers
Los Angeles Lakers,Denver Nuggets
Milwaukee Bucks,Oklahoma City Thunder
Orlando Magic,Phoenix Suns
Minnesota Timberwolves,Toronto Raptors
New Orleans Pelicans,Detroit Pistons
San Antonio Spurs,Charlotte Hornets
Boston Celtics,Washington Wizards
Portland Trail Blazers,Dallas Mavericks
Brooklyn Nets,Sacramento Kings
Miami Heat,Los Angeles Clippers
Philadelphia 76ers,Utah Jazz
Cleveland Cavaliers,Golden State Warriors
Houston Rockets,Washington Wizards
Chicago Bulls,Indiana Pacers
Atlanta Hawks,New York Knicks
Brooklyn Nets,Phoenix Suns
Denver Nuggets,Boston Celtics
New Orleans Pelicans,Memphis Grizzlies
Toronto Raptors,Milwaukee Bucks
Los Angeles Lakers,Minnesota Timberwolves
Portland Trail Blazers,Oklahoma City Thunder
Portland Trail Blazers,New Orleans Pelicans
Oklahoma City Thunder,Memphis Grizzlies
Utah Jazz,Los Angeles Clippers
Miami Heat,Golden State Warriors
Denver Nuggets,Washington Wizards
Indiana Pacers,Minnesota Timberwolves
Detroit Pistons,Chicago Bulls
Houston Rockets,Philadelphia 76ers
Atlanta Hawks,Boston Celtics
New York Knicks,Orlando Magic
Toronto Raptors,Milwaukee Bucks
Brooklyn Nets,Los Angeles Lakers
Miami Heat,Sacramento Kings
Toronto Raptors,Minnesota Timberwolves
Phoenix Suns,New Orleans Pelicans
Oklahoma City Thunder,Milwaukee Bucks
Detroit Pistons,Memphis Grizzlies
Utah Jazz,Los Angeles Clippers
Atlanta Hawks,Boston Celtics
Golden State Warriors,Orlando Magic
Denver Nuggets,Cleveland Cavaliers
Chicago Bulls,Philadelphia 76ers
Golden State Warriors,Charlotte Hornets
Miami Heat,Los Angeles Lakers
Sacramento Kings,Chicago Bulls
Phoenix Suns,Memphis Grizzlies
Washington Wizards,Portland Trail Blazers
Sacramento Kings,Milwaukee Bucks
Brooklyn Nets,Los Angeles Clippers
Denver Nuggets,Atlanta Hawks
Philadelphia 76ers,Toronto Raptors
Boston Celtics,New Orleans Pelicans
Minnesota Timberwolves,New York Knicks
Oklahoma City Thunder,Cleveland Cavaliers
Detroit Pistons,Orlando Magic
Charlotte Hornets,Utah Jazz
Washington Wizards,Los Angeles Lakers
Portland Trail Blazers,Phoenix Suns
Miami Heat,Oklahoma City Thunder
Memphis Grizzlies,Dallas Mavericks
Chicago Bulls,Houston Rockets
Atlanta Hawks,Cleveland Cavaliers
Detroit Pistons,Orlando Magic
Sacramento Kings,Brooklyn Nets
Boston Celtics,Dallas Mavericks
Golden State Warriors,New York Knicks
Philadelphia 76ers,Toronto Raptors
Minnesota Timberwolves,Milwaukee Bucks
Portland Trail Blazers,Denver Nuggets
Washington Wizards,Los Angeles Clippers
Los Angeles Lakers,Utah Jazz
Charlotte Hornets,Phoenix Suns
San Antonio Spurs,Oklahoma City Thunder
Detroit Pistons,New Orleans Pelicans
Minnesota Timberwolves,Chicago Bulls
Golden State Warriors,Indiana Pacers
Houston Rockets,Cleveland Cavaliers
Boston Celtics,Atlanta Hawks
Toronto Raptors,Miami Heat
Dallas Mavericks,Philadelphia 76ers
Orlando Magic,Brooklyn Nets
Sacramento Kings,New York Knicks
Los Angeles Clippers,Memphis Grizzlies
Washington Wizards,Denver Nuggets
New Orleans Pelicans,Milwaukee Bucks
Utah Jazz,Miami Heat
Charlotte Hornets,Golden State Warriors
Atlanta Hawks,Oklahoma City Thunder
Los Angeles Clippers,Memphis Grizzlies
Portland Trail Blazers,Los Angeles Lakers
Phoenix Suns,Chicago Bulls
Houston Rockets,Toronto Raptors
Indiana Pacers,Boston Celtics
Sacramento Kings,Detroit Pistons
Cleveland Cavaliers,Philadelphia 76ers
Minnesota Timberwolves,Washington Wizards
Indiana Pacers,New York Knicks
Denver Nuggets,Oklahoma City Thunder
Utah Jazz,Orlando Magic
New Orleans Pelicans,San Antonio Spurs
Dallas Mavericks,Brooklyn Nets
Phoenix Suns,Minnesota Timberwolves
Atlanta Hawks,Miami Heat
Golden State Warriors,Los Angeles Lakers
Charlotte Hornets,Sacramento Kings
New York Knicks,Detroit Pistons
Washington Wizards,Boston Celtics
Los Angeles Clippers,Milwaukee Bucks
Memphis Grizzlies,Houston Rockets
Cleveland Cavaliers,Houston Rockets
Brooklyn Nets,San Antonio Spurs
Utah Jazz,New Orleans Pelicans
Charlotte Hornets,Portland Trail Blazers
Indiana Pacers,Philadelphia 76ers
Dallas Mavericks,Orlando Magic
Denver Nuggets,Chicago Bulls
Memphis Grizzlies,Washington Wizards
Los Angeles Clippers,Boston Celtics
Atlanta Hawks,Miami Heat
New York Knicks,San Antonio Spurs
Denver Nuggets,Milwaukee Bucks
Phoenix Suns,Los Angeles Lakers
Los Angeles Lakers,Sacramento Kings
Golden State Warriors,Portland Trail Blazers
Oklahoma City Thunder,Dallas Mavericks
Atlanta Hawks,Orlando Magic
Chicago Bulls,New Orleans Pelicans
Brooklyn Nets,Houston Rockets
Detroit Pistons,Toronto Raptors
Utah Jazz,Philadelphia 76ers
Indiana Pacers,Cleveland Cavaliers
Charlotte Hornets,Minnesota Timberwolves
Sacramento Kings,Portland Trail Blazers
Golden State Warriors,Phoenix Suns
Oklahoma City Thunder,San Antonio Spurs
Milwaukee Bucks,Memphis Grizzlies
Miami Heat,New Orleans Pelicans
Detroit Pistons,New York Knicks
Los Angeles Clippers,Washington Wizards
Toronto Raptors,Boston Celtics
Denver Nuggets,Indiana Pacers
Washington Wizards,Memphis Grizzlies
San Antonio Spurs,Dallas Mavericks
Dallas Mavericks,Oklahoma City Thunder
Phoenix Suns,Portland Trail Blazers
Houston Rockets,Sacramento Kings
Golden State Warriors,Los Angeles Clippers
Minnesota Timberwolves,New Orleans Pelicans
Boston Celtics,Brooklyn Nets
Orlando Magic,Miami Heat
