Vteam,Hteam
Philadelphia 76ers,Chicago Bulls
Atlanta Hawks,Toronto Raptors
Detroit Pistons,Charlotte Hornets
New York Knicks,Milwaukee Bucks
Houston Rockets,Utah Jazz
Denver Nuggets,Memphis Grizzlies
Cleveland Cavaliers,New Orleans Pelicans
Philadelphia 76ers,Washington Wizards
Miami Heat,Chicago Bulls
Orlando Magic,San Antonio Spurs
Indiana Pacers,Los Angeles Lakers
Dallas Mavericks,Denver Nuggets
Indiana Pacers,Phoenix Suns
Sacramento Kings,Atlanta Hawks
Portland Trail Blazers,Minnesota Timberwolves
Toronto Raptors,Charlotte Hornets
Milwaukee Bucks,Washington Wizards
Detroit Pistons,Brooklyn Nets
New York Knicks,Oklahoma City Thunder
Los Angeles Clippers,New Orleans Pelicans
Toronto Raptors,Chicago Bulls
Portland Trail Blazers,Minnesota Timberwolves
Boston Celtics,Houston Rockets
Cleveland Cavaliers,Atlanta Hawks
Miami Heat,Orlando Magic
San Antonio Spurs,Philadelphia 76ers
Utah Jazz,Golden State Warriors
Memphis Grizzlies,Oklahoma City Thunder
Los Angeles Lakers,Golden State Warriors
Memphis Grizzlies,Phoenix Suns
Indiana Pacers,Denver Nuggets
Los Angeles Clippers,Dallas Mavericks
New York Knicks,Brooklyn Nets
Milwaukee Bucks,Washington Wizards
Sacramento Kings,Charlotte Hornets
San Antonio Spurs,Detroit Pistons
Utah Jazz,Boston Celtics
Oklahoma City Thunder,Chicago Bulls
Atlanta Hawks,Houston Rockets
Cleveland Cavaliers,Miami Heat
New York Knicks,Philadelphia 76ers
New Orleans Pelicans,Portland Trail Blazers
Minnesota Timberwolves,Los Angeles Lakers
Golden State Warriors,Houston Rockets
Los Angeles Clippers,Dallas Mavericks
Charlotte Hornets,Denver Nuggets
Boston Celtics,Cleveland Cavaliers
Miami Heat,Memphis Grizzlies
Sacramento Kings,Washington Wizards
Milwaukee Bucks,Philadelphia 76ers
Brooklyn Nets,Indiana Pacers
Toronto Raptors,Detroit Pistons
San Antonio Spurs,Chicago Bulls
Utah Jazz,Washington Wizards
Oklahoma City Thunder,Atlanta Hawks
Orlando Magic,New York Knicks
Minnesota Timberwolves,Phoenix Suns
New Orleans Pelicans,Portland Trail Blazers
Charlotte Hornets,Los Angeles Lakers
Dallas Mavericks,Portland Trail Blazers
Chicago Bulls,Denver Nuggets
Utah Jazz,Toronto Raptors
Brooklyn Nets,Orlando Magic
Minnesota Timberwolves,Phoenix Suns
Golden State Warriors,Memphis Grizzlies
Detroit Pistons,Houston Rockets
San Antonio Spurs,Cleveland Cavaliers
Sacramento Kings,Boston Celtics
Indiana Pacers,Miami Heat
Atlanta Hawks,Los Angeles Lakers
Golden State Warriors,Memphis Grizzlies
Sacramento Kings,Philadelphia 76ers
San Antonio Spurs,Milwaukee Bucks
Charlotte Hornets,Los Angeles Clippers
Dallas Mavericks,Portland Trail Blazers
Los Angeles Lakers,Phoenix Suns
Philadelphia 76ers,New York Knicks
Chicago Bulls,Detroit Pistons
Toronto Raptors,Cleveland Cavaliers
Oklahoma City Thunder,Houston Rockets
Orlando Magic,Boston Celtics
New Orleans Pelicans,Denver Nuggets
Indiana Pacers,Miami Heat
Washington Wizards,Brooklyn Nets
Boston Celtics,Memphis Grizzlies
Atlanta Hawks,Los Angeles Clippers
Indiana Pacers,Milwaukee Bucks
Toronto Raptors,Houston Rockets
Charlotte Hornets,San Antonio Spurs
Utah Jazz,Chicago Bulls
Oklahoma City Thunder,Minnesota Timberwolves
Sacramento Kings,Cleveland Cavaliers
Denver Nuggets,Orlando Magic
Los Angeles Lakers,New Orleans Pelicans
Washington Wizards,New York Knicks
Phoenix Suns,Miami Heat
Philadelphia 76ers,Golden State Warriors
Brooklyn Nets,Portland Trail Blazers
Brooklyn Nets,Utah Jazz
Atlanta Hawks,Sacramento Kings
Los Angeles Clippers,San Antonio Spurs
Phoenix Suns,Orlando Magic
Memphis Grizzlies,Oklahoma City Thunder
Dallas Mavericks,Minnesota Timberwolves
Charlotte Hornets,Houston Rockets
Denver Nuggets,Toronto Raptors
Boston Celtics,Milwaukee Bucks
Detroit Pistons,Indiana Pacers
Cleveland Cavaliers,Chicago Bulls
Golden State Warriors,Sacramento Kings
Portland Trail Blazers,Miami Heat
Washington Wizards,New York Knicks
Los Angeles Clippers,San Antonio Spurs
Philadelphia 76ers,Los Angeles Lakers
Memphis Grizzlies,Utah Jazz
Atlanta Hawks,Golden State Warriors
Portland Trail Blazers,Orlando Magic
Cleveland Cavaliers,Los Angeles Lakers
Denver Nuggets,New Orleans Pelicans
Indiana Pacers,Dallas Mavericks
Miami Heat,Charlotte Hornets
Phoenix Suns,Toronto Raptors
Boston Celtics,Milwaukee Bucks
Brooklyn Nets,Detroit Pistons
Houston Rockets,Minnesota Timberwolves
New York Knicks,Milwaukee Bucks
Houston Rockets,Minnesota Timberwolves
Detroit Pistons,Washington Wizards
Chicago Bulls,San Antonio Spurs
Dallas Mavericks,New Orleans Pelicans
Boston Celtics,Oklahoma City Thunder
Memphis Grizzlies,Utah Jazz
Philadelphia 76ers,Los Angeles Clippers
Cleveland Cavaliers,Sacramento Kings
Orlando Magic,Los Angeles Lakers
Atlanta Hawks,Denver Nuggets
Phoenix Suns,Charlotte Hornets
Portland Trail Blazers,Toronto Raptors
Milwaukee Bucks,Los Angeles Clippers
Chicago Bulls,Golden State Warriors
Cleveland Cavaliers,Utah Jazz
Sacramento Kings,San Antonio Spurs
Memphis Grizzlies,Houston Rockets
Dallas Mavericks,Oklahoma City Thunder
Miami Heat,New York Knicks
Minnesota Timberwolves,Brooklyn Nets
New Orleans Pelicans,Boston Celtics
Indiana Pacers,Washington Wizards
Toronto Raptors,Detroit Pistons
Atlanta Hawks,Phoenix Suns
Charlotte Hornets,Washington Wizards
Philadelphia 76ers,Denver Nuggets
Orlando Magic,Los Angeles Clippers
Chicago Bulls,Phoenix Suns
Toronto Raptors,Oklahoma City Thunder
Milwaukee Bucks,Los Angeles Lakers
Sacramento Kings,San Antonio Spurs
New York Knicks,Minnesota Timberwolves
Dallas Mavericks,Boston Celtics
Houston Rockets,Brooklyn Nets
Miami Heat,Indiana Pacers
Portland Trail Blazers,Detroit Pistons
Utah Jazz,Memphis Grizzlies
Philadelphia 76ers,Cleveland Cavaliers
Washington Wizards,Detroit Pistons
Charlotte Hornets,Brooklyn Nets
Golden State Warriors,Miami Heat
Orlando Magic,New Orleans Pelicans
Atlanta Hawks,San Antonio Spurs
Denver Nuggets,Los Angeles Clippers
Los Angeles Lakers,Sacramento Kings
Milwaukee Bucks,Portland Trail Blazers
Oklahoma City Thunder,Phoenix Suns
Chicago Bulls,Utah Jazz
Atlanta Hawks,New Orleans Pelicans
Minnesota Timberwolves,Memphis Grizzlies
Charlotte Hornets,Indiana Pacers
Dallas Mavericks,New York Knicks
Houston Rockets,Boston Celtics
Golden State Warriors,Toronto Raptors
Dallas Mavericks,Washington Wizards
New York Knicks,Detroit Pistons
Cleveland Cavaliers,Miami Heat
Minnesota Timberwolves,Philadelphia 76ers
Indiana Pacers,San Antonio Spurs
Orlando Magic,Utah Jazz
Oklahoma City Thunder,Portland Trail Blazers
Milwaukee Bucks,Sacramento Kings
New Orleans Pelicans,Houston Rockets
Golden State Warriors,Atlanta Hawks
Memphis Grizzlies,Philadelphia 76ers
Orlando Magic,Denver Nuggets
Los Angeles Lakers,Los Angeles Clippers
Brooklyn Nets,Chicago Bulls
Charlotte Hornets,Boston Celtics
New York Knicks,Brooklyn Nets
Utah Jazz,Dallas Mavericks
Sacramento Kings,Minnesota Timberwolves
Detroit Pistons,Oklahoma City Thunder
Cleveland Cavaliers,San Antonio Spurs
Washington Wizards,Toronto Raptors
Phoenix Suns,Houston Rockets
Portland Trail Blazers,Los Angeles Clippers
Milwaukee Bucks,Golden State Warriors
Detroit Pistons,Denver Nuggets
Memphis Grizzlies,Miami Heat
Chicago Bulls,Indiana Pacers
Philadelphia 76ers,Boston Celtics
New Orleans Pelicans,Atlanta Hawks
Los Angeles Lakers,Toronto Raptors
Charlotte Hornets,Oklahoma City Thunder
Utah Jazz,Phoenix Suns
San Antonio Spurs,Denver Nuggets
Dallas Mavericks,Houston Rockets
Minnesota Timberwolves,Indiana Pacers
New Orleans Pelicans,Brooklyn Nets
New York Knicks,Boston Celtics
Washington Wizards,Orlando Magic
Memphis Grizzlies,Atlanta Hawks
Los Angeles Lakers,Miami Heat
Chicago Bulls,Toronto Raptors
Cleveland Cavaliers,Oklahoma City Thunder
Milwaukee Bucks,Dallas Mavericks
Phoenix Suns,Los Angeles Clippers
Detroit Pistons,Sacramento Kings
Portland Trail Blazers,Utah Jazz
Charlotte Hornets,Milwaukee Bucks
Washington Wizards,Golden State Warriors
Houston Rockets,Los Angeles Clippers
San Antonio Spurs,Denver Nuggets
Minnesota Timberwolves,Boston Celtics
Chicago Bulls,Atlanta Hawks
Indiana Pacers,Orlando Magic
Philadelphia 76ers,New Orleans Pelicans
Memphis Grizzlies,New York Knicks
Toronto Raptors,Cleveland Cavaliers
Los Angeles Lakers,Brooklyn Nets
Philadelphia 76ers,Oklahoma City Thunder
Sacramento Kings,Utah Jazz
Houston Rockets,Golden State Warriors
Washington Wizards,Phoenix Suns
Detroit Pistons,Portland Trail Blazers
Chicago Bulls,Minnesota Timberwolves
Miami Heat,Portland Trail Blazers
Detroit Pistons,Los Angeles Clippers
Toronto Raptors,New York Knicks
Indiana Pacers,Memphis Grizzlies
San Antonio Spurs,Dallas Mavericks
Milwaukee Bucks,Orlando Magic
New Orleans Pelicans,Cleveland Cavaliers
Boston Celtics,Denver Nuggets
Atlanta Hawks,Charlotte Hornets
Philadelphia 76ers,Dallas Mavericks
Los Angeles Lakers,New York Knicks
San Antonio Spurs,Orlando Magic
Chicago Bulls,Memphis Grizzlies
Sacramento Kings,New Orleans Pelicans
Washington Wizards,Utah Jazz
Denver Nuggets,Golden State Warriors
Houston Rockets,Phoenix Suns
Miami Heat,Phoenix Suns
Oklahoma City Thunder,Utah Jazz
Boston Celtics,Portland Trail Blazers
Los Angeles Lakers,Charlotte Hornets
Los Angeles Clippers,Indiana Pacers
Atlanta Hawks,Toronto Raptors
Brooklyn Nets,Minnesota Timberwolves
Milwaukee Bucks,Minnesota Timberwolves
Cleveland Cavaliers,Charlotte Hornets
Brooklyn Nets,Philadelphia 76ers
San Antonio Spurs,Toronto Raptors
Orlando Magic,Chicago Bulls
New York Knicks,New Orleans Pelicans
Indiana Pacers,Houston Rockets
Golden State Warriors,Oklahoma City Thunder
Dallas Mavericks,Memphis Grizzlies
Miami Heat,Denver Nuggets
Washington Wizards,Sacramento Kings
Los Angeles Clippers,Detroit Pistons
Sacramento Kings,Phoenix Suns
Boston Celtics,Los Angeles Lakers
Golden State Warriors,Cleveland Cavaliers
Milwaukee Bucks,Atlanta Hawks
Indiana Pacers,Utah Jazz
Oklahoma City Thunder,Detroit Pistons
Los Angeles Clippers,Philadelphia 76ers
New Orleans Pelicans,Washington Wizards
Charlotte Hornets,Brooklyn Nets
Orlando Magic,Toronto Raptors
Memphis Grizzlies,Chicago Bulls
Denver Nuggets,Houston Rockets
Miami Heat,Minnesota Timberwolves
Portland Trail Blazers,San Antonio Spurs
New York Knicks,Dallas Mavericks
San Antonio Spurs,Phoenix Suns
Memphis Grizzlies,Milwaukee Bucks
Golden State Warriors,Boston Celtics
Cleveland Cavaliers,Chicago Bulls
Utah Jazz,Los Angeles Lakers
Detroit Pistons,Washington Wizards
Indiana Pacers,Atlanta Hawks
New Orleans Pelicans,New York Knicks
Brooklyn Nets,Miami Heat
Portland Trail Blazers,Charlotte Hornets
Houston Rockets,Orlando Magic
Oklahoma City Thunder,Toronto Raptors
Sacramento Kings,Dallas Mavericks
Minnesota Timberwolves,Los Angeles Clippers
Utah Jazz,Los Angeles Lakers
Memphis Grizzlies,Denver Nuggets
Oklahoma City Thunder,Washington Wizards
Phoenix Suns,Milwaukee Bucks
Houston Rockets,Miami Heat
San Antonio Spurs,Indiana Pacers
Golden State Warriors,Philadelphia 76ers
Chicago Bulls,Boston Celtics
Cleveland Cavaliers,Detroit Pistons
Orlando Magic,Atlanta Hawks
Brooklyn Nets,New Orleans Pelicans
Charlotte Hornets,New York Knicks
Los Angeles Clippers,Portland Trail Blazers
Minnesota Timberwolves,Sacramento Kings
Minnesota Timberwolves,Sacramento Kings
Memphis Grizzlies,Los Angeles Clippers
Miami Heat,San Antonio Spurs
Detroit Pistons,Dallas Mavericks
Atlanta Hawks,New York Knicks
Denver Nuggets,Portland Trail Blazers
Golden State Warriors,Washington Wizards
Brooklyn Nets,Toronto Raptors
Phoenix Suns,Philadelphia 76ers
Oklahoma City Thunder,Indiana Pacers
Utah Jazz,Houston Rockets
Chicago Bulls,Cleveland Cavaliers
Charlotte Hornets,Chicago Bulls
Detroit Pistons,San Antonio Spurs
Los Angeles Lakers,Dallas Mavericks
Philadelphia 76ers,Milwaukee Bucks
Phoenix Suns,Boston Celtics
New Orleans Pelicans,Orlando Magic
Miami Heat,Atlanta Hawks
Boston Celtics,Brooklyn Nets
Cleveland Cavaliers,Charlotte Hornets
Los Angeles Clippers,Houston Rockets
Washington Wizards,Oklahoma City Thunder
Denver Nuggets,Golden State Warriors
Memphis Grizzlies,Portland Trail Blazers
Los Angeles Lakers,Dallas Mavericks
Houston Rockets,Denver Nuggets
Minnesota Timberwolves,Utah Jazz
San Antonio Spurs,New Orleans Pelicans
Toronto Raptors,New York Knicks
Detroit Pistons,Indiana Pacers
Philadelphia 76ers,Milwaukee Bucks
Chicago Bulls,Miami Heat
Boston Celtics,Charlotte Hornets
Phoenix Suns,Brooklyn Nets
Memphis Grizzlies,Portland Trail Blazers
Cleveland Cavaliers,Washington Wizards
Milwaukee Bucks,Atlanta Hawks
Indiana Pacers,Orlando Magic
Sacramento Kings,Golden State Warriors
Utah Jazz,Minnesota Timberwolves
Dallas Mavericks,Sacramento Kings
Memphis Grizzlies,Denver Nuggets
Los Angeles Clippers,New Orleans Pelicans
Cleveland Cavaliers,Toronto Raptors
Chicago Bulls,Miami Heat
San Antonio Spurs,Washington Wizards
Oklahoma City Thunder,Philadelphia 76ers
Los Angeles Lakers,Orlando Magic
Atlanta Hawks,Detroit Pistons
Phoenix Suns,New York Knicks
Oklahoma City Thunder,Boston Celtics
Milwaukee Bucks,Charlotte Hornets
Portland Trail Blazers,Indiana Pacers
Brooklyn Nets,Toronto Raptors
Minnesota Timberwolves,Houston Rockets
Dallas Mavericks,Golden State Warriors
Los Angeles Clippers,Phoenix Suns
Utah Jazz,Sacramento Kings
Portland Trail Blazers,Memphis Grizzlies
New Orleans Pelicans,Denver Nuggets
San Antonio Spurs,Miami Heat
Chicago Bulls,New York Knicks
Charlotte Hornets,Boston Celtics
Atlanta Hawks,Philadelphia 76ers
Orlando Magic,Cleveland Cavaliers
Los Angeles Lakers,Washington Wizards
Dallas Mavericks,Detroit Pistons
Brooklyn Nets,Indiana Pacers
Milwaukee Bucks,Houston Rockets
Golden State Warriors,Minnesota Timberwolves
Toronto Raptors,Denver Nuggets
New Orleans Pelicans,Oklahoma City Thunder
Milwaukee Bucks,Chicago Bulls
Utah Jazz,Phoenix Suns
Orlando Magic,Memphis Grizzlies
Sacramento Kings,Los Angeles Lakers
Washington Wizards,Cleveland Cavaliers
San Antonio Spurs,Boston Celtics
Atlanta Hawks,Philadelphia 76ers
Portland Trail Blazers,Brooklyn Nets
Toronto Raptors,Utah Jazz
Memphis Grizzlies,Orlando Magic
Denver Nuggets,Los Angeles Clippers
Washington Wizards,Dallas Mavericks
Indiana Pacers,Oklahoma City Thunder
Detroit Pistons,Charlotte Hornets
Miami Heat,Cleveland Cavaliers
Chicago Bulls,Atlanta Hawks
Golden State Warriors,Houston Rockets
New Orleans Pelicans,Minnesota Timberwolves
Brooklyn Nets,Milwaukee Bucks
Portland Trail Blazers,Boston Celtics
Miami Heat,Charlotte Hornets
Sacramento Kings,Dallas Mavericks
New York Knicks,Houston Rockets
Phoenix Suns,Oklahoma City Thunder
Philadelphia 76ers,San Antonio Spurs
Toronto Raptors,Los Angeles Lakers
San Antonio Spurs,Utah Jazz
Denver Nuggets,Los Angeles Lakers
New York Knicks,Memphis Grizzlies
Philadelphia 76ers,Chicago Bulls
Indiana Pacers,Washington Wizards
Golden State Warriors,New Orleans Pelicans
Orlando Magic,Detroit Pistons
Portland Trail Blazers,Atlanta Hawks
Toronto Raptors,Los Angeles Clippers
Phoenix Suns,Cleveland Cavaliers
Charlotte Hornets,Detroit Pistons
Brooklyn Nets,Milwaukee Bucks
Dallas Mavericks,Miami Heat
Golden State Warriors,New Orleans Pelicans
Sacramento Kings,Oklahoma City Thunder
New York Knicks,Denver Nuggets
Memphis Grizzlies,Minnesota Timberwolves
San Antonio Spurs,Utah Jazz
Washington Wizards,Milwaukee Bucks
Boston Celtics,Orlando Magic
Philadelphia 76ers,Houston Rockets
Phoenix Suns,Atlanta Hawks
Portland Trail Blazers,Cleveland Cavaliers
Sacramento Kings,Indiana Pacers
Chicago Bulls,Charlotte Hornets
Brooklyn Nets,Dallas Mavericks
Washington Wizards,Toronto Raptors
Memphis Grizzlies,Detroit Pistons
Atlanta Hawks,Indiana Pacers
Oklahoma City Thunder,Golden State Warriors
Los Angeles Lakers,Los Angeles Clippers
San Antonio Spurs,Sacramento Kings
Los Angeles Lakers,Portland Trail Blazers
New York Knicks,Phoenix Suns
Denver Nuggets,Utah Jazz
Cleveland Cavaliers,Dallas Mavericks
Houston Rockets,Milwaukee Bucks
Minnesota Timberwolves,Miami Heat
Orlando Magic,Charlotte Hornets
Boston Celtics,Chicago Bulls
New Orleans Pelicans,Philadelphia 76ers
Washington Wizards,Indiana Pacers
Detroit Pistons,Philadelphia 76ers
Memphis Grizzlies,Toronto Raptors
Brooklyn Nets,Denver Nuggets
Oklahoma City Thunder,Golden State Warriors
San Antonio Spurs,Portland Trail Blazers
Houston Rockets,Utah Jazz
Oklahoma City Thunder,Sacramento Kings
Phoenix Suns,Los Angeles Lakers
Chicago Bulls,Detroit Pistons
Minnesota Timberwolves,Orlando Magic
Dallas Mavericks,Cleveland Cavaliers
New Orleans Pelicans,Charlotte Hornets
New York Knicks,Los Angeles Clippers
Miami Heat,Boston Celtics
Washington Wizards,Atlanta Hawks
Indiana Pacers,Cleveland Cavaliers
New Orleans Pelicans,Memphis Grizzlies
Milwaukee Bucks,San Antonio Spurs
Utah Jazz,Golden State Warriors
Houston Rockets,Portland Trail Blazers
Oklahoma City Thunder,Sacramento Kings
New York Knicks,Los Angeles Lakers
Phoenix Suns,Golden State Warriors
Orlando Magic,Milwaukee Bucks
Dallas Mavericks,Memphis Grizzlies
Philadelphia 76ers,Indiana Pacers
Brooklyn Nets,Chicago Bulls
Los Angeles Clippers,Toronto Raptors
Miami Heat,Boston Celtics
Minnesota Timberwolves,Detroit Pistons
Denver Nuggets,Charlotte Hornets
Washington Wizards,Atlanta Hawks
San Antonio Spurs,Brooklyn Nets
Boston Celtics,Cleveland Cavaliers
New Orleans Pelicans,Dallas Mavericks
Portland Trail Blazers,Utah Jazz
Houston Rockets,Los Angeles Lakers
Denver Nuggets,Minnesota Timberwolves
Sacramento Kings,Memphis Grizzlies
Toronto Raptors,Chicago Bulls
San Antonio Spurs,New York Knicks
Portland Trail Blazers,Phoenix Suns
Orlando Magic,Atlanta Hawks
Los Angeles Clippers,Charlotte Hornets
Philadelphia 76ers,Miami Heat
Milwaukee Bucks,Indiana Pacers
Cleveland Cavaliers,Washington Wizards
Denver Nuggets,Detroit Pistons
Utah Jazz,Oklahoma City Thunder
Orlando Magic,Philadelphia 76ers
Toronto Raptors,Dallas Mavericks
Los Angeles Clippers,Houston Rockets
Sacramento Kings,Memphis Grizzlies
New Orleans Pelicans,Golden State Warriors
Miami Heat,Milwaukee Bucks
Phoenix Suns,San Antonio Spurs
Boston Celtics,Minnesota Timberwolves
Los Angeles Lakers,Indiana Pacers
Chicago Bulls,Brooklyn Nets
Charlotte Hornets,New York Knicks
Milwaukee Bucks,Chicago Bulls
Utah Jazz,Sacramento Kings
Denver Nuggets,Portland Trail Blazers
Los Angeles Clippers,Oklahoma City Thunder
Los Angeles Lakers,New Orleans Pelicans
Dallas Mavericks,Minnesota Timberwolves
Miami Heat,Detroit Pistons
Indiana Pacers,Toronto Raptors
Cleveland Cavaliers,Brooklyn Nets
Houston Rockets,Atlanta Hawks
Memphis Grizzlies,Golden State Warriors
Phoenix Suns,San Antonio Spurs
Charlotte Hornets,Washington Wizards
Boston Celtics,New York Knicks
Orlando Magic,Philadelphia 76ers
Washington Wizards,Boston Celtics
Charlotte Hornets,Indiana Pacers
Golden State Warriors,Los Angeles Lakers
San Antonio Spurs,Memphis Grizzlies
Indiana Pacers,Washington Wizards
Memphis Grizzlies,Golden State Warriors
